timestamp,open,high,low,close,volume,turnover
2025-08-30T21:15:00,2.8094,2.8138,2.8047,2.8107,1061107,2982259.8132
2025-08-30T21:30:00,2.8107,2.812,2.8065,2.8098,345378,970102.2649
2025-08-30T21:45:00,2.8098,2.8098,2.8053,2.8092,317554,891293.5943
2025-08-30T22:00:00,2.8092,2.8114,2.8048,2.8072,400540,1124692.2137
2025-08-30T22:15:00,2.8072,2.8077,2.802,2.8065,703090,1972115.7149
2025-08-30T22:30:00,2.8065,2.807,2.8001,2.8035,492600,1380683.9748
2025-08-30T22:45:00,2.8035,2.8045,2.8015,2.8042,683343,1915579.4924
2025-08-30T23:00:00,2.8042,2.8074,2.7992,2.8067,1278978,3585062.5725
2025-08-30T23:15:00,2.8067,2.8067,2.8002,2.8015,719185,2015205.2461
2025-08-30T23:30:00,2.8015,2.8038,2.8002,2.8035,419122,1174596.5247
2025-08-30T23:45:00,2.8035,2.8078,2.8034,2.8056,378369,1061712.6593
2025-08-31T00:00:00,2.8056,2.8067,2.7981,2.7994,1508615,4226329.1608
2025-08-31T00:15:00,2.7994,2.8069,2.7994,2.806,481155,1348907.2202
2025-08-31T00:30:00,2.806,2.8092,2.8036,2.8076,308161,864939.5248
2025-08-31T00:45:00,2.8076,2.8091,2.8059,2.8071,318212,893394.2499
2025-08-31T01:00:00,2.8071,2.8121,2.8066,2.8104,877539,2466122.5796
2025-08-31T01:15:00,2.8104,2.8151,2.8087,2.8147,811926,2283563.1867
2025-08-31T01:30:00,2.8147,2.816,2.812,2.8155,1017254,2862939.7294
2025-08-31T01:45:00,2.8155,2.817,2.8135,2.8168,512568,1442822.5506
2025-08-31T02:00:00,2.8168,2.8238,2.8167,2.8201,3000811,8463988.9875
2025-08-31T02:15:00,2.8201,2.8245,2.8182,2.8234,1497193,4225832.7505
2025-08-31T02:30:00,2.8234,2.8292,2.822,2.8289,2519778,7120211.3883
2025-08-31T02:45:00,2.8289,2.8457,2.8279,2.8435,7898650,22410535.4893
2025-08-31T03:00:00,2.8435,2.845,2.8351,2.8378,3057825,8680131.3244
2025-08-31T03:15:00,2.8378,2.845,2.8368,2.8412,1607366,4564835.2795
2025-08-31T03:30:00,2.8412,2.8522,2.8403,2.8522,2722698,7752445.6075
2025-08-31T03:45:00,2.8522,2.8676,2.8507,2.8616,6596853,18854398.1851
2025-08-31T04:00:00,2.8616,2.8635,2.8541,2.8546,2099697,6000902.4401
2025-08-31T04:15:00,2.8546,2.8572,2.8513,2.8529,1134029,3237019.5641
2025-08-31T04:30:00,2.8529,2.8533,2.8464,2.8464,1497929,4268590.272
2025-08-31T04:45:00,2.8464,2.8487,2.844,2.8466,915104,2604753.079
2025-08-31T05:00:00,2.8466,2.8518,2.8451,2.8451,1244768,3546199.3858
2025-08-31T05:15:00,2.8451,2.8452,2.8415,2.8435,946092,2690078.0887
2025-08-31T05:30:00,2.8435,2.8481,2.8398,2.8474,1174840,3341429.996
2025-08-31T05:45:00,2.8474,2.8514,2.8457,2.8513,2694124,7675707.5618
2025-08-31T06:00:00,2.8513,2.8555,2.8461,2.8539,1492872,4256673.7487
2025-08-31T06:15:00,2.8539,2.8542,2.8444,2.8446,1448812,4127035.406
2025-08-31T06:30:00,2.8446,2.8482,2.8422,2.8422,965685,2747572.2912
2025-08-31T06:45:00,2.8422,2.847,2.8417,2.8468,933408,2655333.9369
2025-08-31T07:00:00,2.8468,2.8468,2.8341,2.8362,3061615,8689413.1244
2025-08-31T07:15:00,2.8362,2.837,2.8318,2.8341,1325765,3757714.6297
2025-08-31T07:30:00,2.8341,2.8384,2.8337,2.8365,995080,2821736.5452
2025-08-31T07:45:00,2.8365,2.8375,2.8326,2.8363,1661858,4712594.5113
2025-08-31T08:00:00,2.8363,2.8377,2.8311,2.8323,2203476,6246427.9025
2025-08-31T08:15:00,2.8323,2.8333,2.8263,2.8275,1629079,4608372.2175
2025-08-31T08:30:00,2.8275,2.8295,2.8245,2.8282,1601974,4528675.1025
2025-08-31T08:45:00,2.8282,2.829,2.8218,2.8228,991304,2799728.0921
2025-08-31T09:00:00,2.8228,2.8342,2.8224,2.8328,1567104,4434899.5562
2025-08-31T09:15:00,2.8328,2.8341,2.8296,2.8313,1663565,4709946.8989
2025-08-31T09:30:00,2.8313,2.8333,2.8296,2.8299,491697,1392346.5817
