timestamp,open,high,low,close,volume,turnover
2025-08-31T17:15:00,108402.5,108496,108402.5,108456.1,123.922,13439022.7832
2025-08-31T17:00:00,108413.3,108642.8,108400.1,108402.5,866.004,93978852.7115
2025-08-31T16:45:00,108392.7,108452.5,108375,108413.3,131.598,14266146.9346
2025-08-31T16:30:00,108315.1,108458.6,108315.1,108392.7,310.27,33636100.3284
2025-08-31T16:15:00,108263.5,108360,108216.6,108315.1,236.716,25634951.0757
2025-08-31T16:00:00,108370.8,108430.5,108200,108263.5,510.16,55237140.1632
2025-08-31T15:45:00,108336.5,108393.3,108254.9,108370.8,188.428,20413049.3854
2025-08-31T15:30:00,108238.2,108336.5,108160.4,108336.5,227.517,24626224.9221
2025-08-31T15:15:00,108170,108400,108141,108238.2,483.387,52336022.9194
2025-08-31T15:00:00,108266.2,108383.1,108135.9,108170,763.225,82593529.5711
2025-08-31T14:45:00,108347.5,108400,108261,108266.2,210.478,22794891.8806
2025-08-31T14:30:00,108356,108441,108322.7,108347.5,229.585,24880270.328
2025-08-31T14:15:00,108283.9,108392.2,108265,108356,226.403,24522844.5008
2025-08-31T14:00:00,108335,108400,108270,108283.9,306.313,33184580.3846
2025-08-31T13:45:00,108345.2,108442.8,108322.1,108335,381.684,41365650.9982
2025-08-31T13:30:00,108484.7,108522.8,108324,108345.2,176.223,19106382.6723
2025-08-31T13:15:00,108455.4,108503,108268,108484.7,412.563,44713256.9272
2025-08-31T13:00:00,108512.2,108552.5,108455.4,108455.4,217.012,23545166.6859
2025-08-31T12:45:00,108343.9,108588.9,108237.1,108512.2,1001.097,108547469.6735
2025-08-31T12:30:00,108417.7,108457.7,108336.4,108343.9,363.484,39396581.6602
2025-08-31T12:15:00,108405,108459.7,108301.6,108417.7,402.038,43570181.9839
2025-08-31T12:00:00,108469.8,108510.3,108316.7,108405,621.885,67415687.7283
2025-08-31T11:45:00,108666.5,108693.4,108389.5,108469.8,985.804,106990226.7305
2025-08-31T11:30:00,108849,108873.8,108651.5,108666.5,909.65,98910854.6096
2025-08-31T11:15:00,108990.1,109050,108841.5,108849,511.67,55747691.3203
2025-08-31T11:00:00,108951.9,109065.4,108905.9,108990.1,342.364,37315278.9534
2025-08-31T10:45:00,108935,108973.5,108861,108951.9,227.857,24820453.0362
2025-08-31T10:30:00,108838.5,108935,108752.3,108935,310.019,33744086.1463
2025-08-31T10:15:00,108777.6,108871.7,108751,108838.5,289.617,31513566.7199
2025-08-31T10:00:00,108640.4,108794.5,108640.4,108777.6,162.816,17701819.8961
2025-08-31T09:45:00,108711,108711,108620.5,108640.4,109.517,11898946.6026
2025-08-31T09:30:00,108648.1,108749.5,108646.3,108711,105.206,11434978.3406
2025-08-31T09:15:00,108726.6,108735,108603.2,108648.1,212.245,23061968.8564
2025-08-31T09:00:00,108654.9,108776.5,108627.5,108726.6,225.099,24470825.8285
2025-08-31T08:45:00,108614.8,108697.1,108604.5,108654.9,142.422,15476237.0259
2025-08-31T08:30:00,108516.4,108683.9,108455,108614.8,522.48,56712889.7718
2025-08-31T08:15:00,108714.4,108719,108507.6,108516.4,283.995,30832775.9391
2025-08-31T08:00:00,108708.7,108719,108636.6,108714.4,139.133,15123697.9499
2025-08-31T07:45:00,108692.8,108726.7,108620.2,108708.7,148.151,16101510.002
2025-08-31T07:30:00,108537.9,108714.3,108537.8,108692.8,275.114,29886699.712
2025-08-31T07:15:00,108656.8,108656.9,108500.3,108537.9,357.142,38772728.6479
2025-08-31T07:00:00,108773.5,108773.6,108560.5,108656.8,513.298,55771091.0494
2025-08-31T06:45:00,108686.1,108791.6,108622.3,108773.5,388.176,42199311.7696
2025-08-31T06:30:00,108791,108828.1,108673.6,108686.1,510.459,55515832.291
2025-08-31T06:15:00,108974.5,108974.5,108775,108791,586.928,63901148.8226
2025-08-31T06:00:00,109179.3,109191.1,108958,108974.5,369.469,40283436.4418
2025-08-31T05:45:00,109265,109327.3,109102.7,109179.3,232.748,25421578.2489
2025-08-31T05:30:00,109163.7,109265,109116,109265,172.452,18831655.804
2025-08-31T05:15:00,109257.6,109257.6,109140.3,109163.7,180.911,19754570.724
2025-08-31T05:00:00,109175.8,109290.5,109175.7,109257.6,150.64,16457526.2065
2025-08-31T17:15:00,108402.5,108496,108402.5,108456.1,123.919,13438697.4151
