timestamp,datetime,open,high,low,close,volume
1758437100000,2025-09-21 08:45:00,0.14483,0.14499,0.14412,0.14456,54710.0
1758438000000,2025-09-21 09:00:00,0.14456,0.14542,0.14398,0.14507,126750.0
1758438900000,2025-09-21 09:15:00,0.14507,0.15017,0.14507,0.14835,530330.0
1758439800000,2025-09-21 09:30:00,0.14835,0.14931,0.146,0.146,197420.0
1758440700000,2025-09-21 09:45:00,0.146,0.14766,0.14569,0.14736,186590.0
1758441600000,2025-09-21 10:00:00,0.14736,0.14736,0.14507,0.1455,114550.0
1758442500000,2025-09-21 10:15:00,0.1455,0.14555,0.14449,0.14454,117090.0
1758443400000,2025-09-21 10:30:00,0.14454,0.14649,0.14435,0.14626,175630.0
1758444300000,2025-09-21 10:45:00,0.14626,0.1486,0.14619,0.14819,109460.0
1758445200000,2025-09-21 11:00:00,0.14819,0.14879,0.14701,0.14761,70100.0
1758446100000,2025-09-21 11:15:00,0.14761,0.14785,0.14511,0.14545,143380.0
1758447000000,2025-09-21 11:30:00,0.14545,0.14734,0.14482,0.14591,262140.0
1758447900000,2025-09-21 11:45:00,0.14591,0.14598,0.14357,0.14456,358810.0
1758448800000,2025-09-21 12:00:00,0.14456,0.14599,0.14406,0.14539,515230.0
1758449700000,2025-09-21 12:15:00,0.14539,0.14683,0.14497,0.1467,285990.0
1758450600000,2025-09-21 12:30:00,0.1467,0.1467,0.14496,0.14577,329650.0
1758451500000,2025-09-21 12:45:00,0.14577,0.14675,0.14519,0.14643,77400.0
1758452400000,2025-09-21 13:00:00,0.14643,0.14784,0.14577,0.14762,140250.0
1758453300000,2025-09-21 13:15:00,0.14762,0.14852,0.14634,0.14769,96860.0
1758454200000,2025-09-21 13:30:00,0.14769,0.148,0.1469,0.14712,26750.0
1758455100000,2025-09-21 13:45:00,0.14712,0.14714,0.14518,0.14573,46650.0
1758456000000,2025-09-21 14:00:00,0.14573,0.14878,0.14569,0.14867,89390.0
1758456900000,2025-09-21 14:15:00,0.14867,0.15102,0.14821,0.14883,233660.0
1758457800000,2025-09-21 14:30:00,0.14883,0.14915,0.14833,0.1485,85330.0
1758458700000,2025-09-21 14:45:00,0.1485,0.1486,0.14664,0.14728,206360.0
1758459600000,2025-09-21 15:00:00,0.14728,0.1494,0.14719,0.1494,144930.0
1758460500000,2025-09-21 15:15:00,0.1494,0.1494,0.14473,0.14548,434660.0
1758461400000,2025-09-21 15:30:00,0.14548,0.14662,0.14486,0.14546,77870.0
1758462300000,2025-09-21 15:45:00,0.14546,0.14546,0.14412,0.14433,103390.0
1758463200000,2025-09-21 16:00:00,0.14433,0.14504,0.14399,0.14476,108900.0
1758464100000,2025-09-21 16:15:00,0.14476,0.14541,0.14415,0.14435,46100.0
1758465000000,2025-09-21 16:30:00,0.14435,0.14507,0.1441,0.14476,47480.0
1758465900000,2025-09-21 16:45:00,0.14476,0.14502,0.14415,0.14415,26670.0
1758466800000,2025-09-21 17:00:00,0.14415,0.14574,0.14415,0.14554,62190.0
1758467700000,2025-09-21 17:15:00,0.14554,0.14565,0.14449,0.14478,134900.0
1758468600000,2025-09-21 17:30:00,0.14478,0.14508,0.14378,0.14464,74540.0
1758469500000,2025-09-21 17:45:00,0.14464,0.1478,0.14464,0.14698,403080.0
1758470400000,2025-09-21 18:00:00,0.14698,0.14892,0.14698,0.14728,173940.0
1758471300000,2025-09-21 18:15:00,0.14728,0.14759,0.14588,0.14638,77540.0
1758472200000,2025-09-21 18:30:00,0.14638,0.14666,0.14555,0.14578,43670.0
1758473100000,2025-09-21 18:45:00,0.14578,0.14619,0.14552,0.14595,22090.0
1758474000000,2025-09-21 19:00:00,0.14595,0.14665,0.14338,0.14406,137500.0
1758474900000,2025-09-21 19:15:00,0.14406,0.1447,0.1434,0.14382,57390.0
1758475800000,2025-09-21 19:30:00,0.14382,0.14479,0.14368,0.14467,14840.0
1758476700000,2025-09-21 19:45:00,0.14467,0.14467,0.14182,0.14286,156840.0
1758477600000,2025-09-21 20:00:00,0.14286,0.14384,0.14286,0.14334,59340.0
1758478500000,2025-09-21 20:15:00,0.14334,0.1439,0.14115,0.14143,159900.0
1758479400000,2025-09-21 20:30:00,0.14143,0.14231,0.14143,0.14231,44100.0
1758480300000,2025-09-21 20:45:00,0.14231,0.14303,0.14231,0.14288,23950.0
1758481200000,2025-09-21 21:00:00,0.14288,0.14295,0.14097,0.14114,60710.0
1758483900000,2025-09-21 21:45:00,0.14062,0.14274,0.14062,0.14259,122530.0
